"","Date","Location Description","Arrest","Beat","District","Latitude","Longitude"
"1","05/03/2016 11:40:00 PM","APARTMENT",TRUE,1022,10,41.86407316,-87.70681861
"2","05/03/2016 09:40:00 PM","RESIDENCE",FALSE,313,3,41.78292153,-87.60436317
"3","05/03/2016 11:31:00 PM","STREET",FALSE,1524,15,41.89490828,-87.75837196
"4","05/03/2016 10:10:00 PM","SIDEWALK",FALSE,1532,15,41.88568685,-87.74951598
"5","05/03/2016 10:00:00 PM","RESIDENCE",FALSE,1523,15,41.88629724,-87.76175071
"6","05/03/2016 10:35:00 PM","STREET",FALSE,631,6,41.74535402,-87.6037989
"7","05/03/2016 10:30:00 PM","CHA HALLWAY/STAIRWELL/ELEVATOR",FALSE,133,1,41.84402377,-87.62692325
"8","05/03/2016 09:30:00 PM","RESIDENCE PORCH/HALLWAY",FALSE,215,2,41.81113396,-87.62074077
"9","05/03/2016 04:00:00 PM","SIDEWALK",FALSE,2432,24,41.99813061,-87.66581404
"10","05/03/2016 10:30:00 PM","STREET",FALSE,735,7,41.76809684,-87.66387859
"11","05/03/2016 09:44:00 PM","VEHICLE NON-COMMERCIAL",TRUE,334,3,41.76173329,-87.55830998
"12","05/03/2016 11:11:00 PM","SIDEWALK",TRUE,1834,18,41.89302675,-87.62675083
"13","05/03/2016 05:30:00 PM","OTHER",FALSE,1232,12,41.87781186,-87.65575801
"14","05/03/2016 09:00:00 AM","STREET",FALSE,133,1,41.84301696,-87.61722727
"15","05/03/2016 10:08:00 PM","STREET",FALSE,1434,14,41.91090083,-87.68601875
"16","05/03/2016 04:00:00 PM","RESIDENCE",FALSE,831,8,41.76208913,-87.69663234
"17","05/03/2016 09:45:00 PM","STREET",FALSE,1424,14,41.9082371,-87.67843742
"18","05/03/2016 10:00:00 PM","SIDEWALK",FALSE,225,2,41.79393591,-87.62568028
"19","05/03/2016 08:00:00 PM","STREET",FALSE,2232,22,41.71184357,-87.64660793
"20","05/03/2016 11:00:00 PM","APARTMENT",FALSE,222,2,41.81587521,-87.60183257
"21","05/03/2016 11:37:00 PM","SIDEWALK",FALSE,1424,14,41.91011672,-87.67744465
"22","05/03/2016 01:30:00 PM","OTHER",FALSE,235,2,41.79070461,-87.60614149
"23","05/03/2016 06:30:00 PM","RESIDENCE-GARAGE",FALSE,1932,19,41.92732184,-87.66581042
"24","05/03/2016 09:00:00 PM","STREET",FALSE,1611,16,41.99596152,-87.79752856
"25","05/03/2016 11:30:00 PM","STREET",FALSE,1831,18,41.88993449,-87.63761923
"26","05/03/2016 07:00:00 AM","VEHICLE-COMMERCIAL",FALSE,2223,22,41.7213798,-87.64978116
"27","05/03/2016 08:30:00 PM","PARKING LOT/GARAGE(NON.RESID.)",FALSE,1932,19,41.92527818,-87.65936796
"28","05/03/2016 12:01:00 AM","RESIDENCE",FALSE,915,9,41.83458618,-87.63228541
"29","05/03/2016 12:01:00 AM","RESIDENCE",FALSE,821,8,41.81472107,-87.7054583
"30","05/03/2016 11:00:00 PM","STREET",FALSE,613,6,41.74089592,-87.64861788
"31","05/03/2016 04:45:00 PM","STREET",FALSE,122,1,41.88063228,-87.63593549
"32","05/03/2016 02:40:00 PM","SCHOOL, PUBLIC, GROUNDS",FALSE,1513,15,41.87851302,-87.76642478
"33","05/03/2016 07:30:00 PM","STREET",FALSE,2534,25,41.90528413,-87.73261553
"34","05/03/2016 09:45:00 PM","RESIDENCE PORCH/HALLWAY",FALSE,1923,19,41.94998639,-87.65319658
"35","05/03/2016 10:30:00 PM","APARTMENT",FALSE,2433,24,41.99458874,-87.65752255
